R01	N	D	AU-0001 trägt das Kommunikationsziel.
R02	N	D	AU-0001 trägt die bevorzugte digitale Lösung.
R03	N	D	AU-0004/5 schließen individuelles direktes Übersetzen aus.
R04	N	D	AU-0004/14 verlangen Anforderungsanalyse mit Beteiligten und späteren Nutzern.
R05	N	P	AU-0009 trägt Kennenlerntermine und mehrere Einrichtungen; der spezielle Zweck aktuelle Kommunikationssituation steht in der nicht referenzierten AU-0008.
R06	N	D	AU-0011/12 tragen Priorität und beide Kommunikationsrichtungen.
R07	N	D	AU-0012/14/15 tragen App, individuelles Wissen und Nachschlagen.
R08	N	D	AU-0007 nennt klassische Bewohnerakten.
R09	N	D	AU-0018/20 tragen begrenzte Beobachtung erschwerter Dokumentationsnutzung; können wahrt diesen Umfang.
R10	N	D	AU-0020 trägt offene Einsicht und Datenschutzbedingungen.
R11	N	D	AU-0022 nennt Dokumentation, Begleitung, gegenseitiges Kennenlernen und Vertrauen.
R12	N	D	AU-0025 trägt Leitungsentscheidung über vollständige Dokumentation und Umfangsbegrenzung.
R13	N	D	AU-0026/27 tragen dynamische Erweiterung und neue Erfahrungen.
R14	N	D	AU-0027/28 tragen Darstellungsformen neben Text einschließlich Bildern.
R15	N	D	AU-0029/30 tragen Zustimmung und Datenschutz zur testweisen Bildnutzung.
R16	N	D	AU-0031/32 tragen Videos zu Kommunikationssituationen mit Beschreibung.
R17	N	D	AU-0036/37 tragen Angehörigenzugriff und Datenbeiträge.
R18	N	D	AU-0039/40 tragen bewohnerbezogene No-Go-Seite.
R19	N	D	AU-0043/44/45/60 tragen zugewiesene Accounts, Rollen, Adminrechte und Registrierungsausschluss.
R20	N	D	AU-0045 trägt Profilübersicht nach Login mit anklickbarer Liste.
R21	N	D	AU-0046 nennt About Me, Kommunikation und Kalender neben der später verworfenen Videoseite; mindestens bewahrt den Teilumfang.
R22	N	D	AU-0047/48 tragen Personendaten, Foto-Beschreibungen, Plus und Reihenfolge.
R23	N	D	AU-0049 trägt Kommunikationsunterteilung und Einträge mit Text/Bild.
R24	N	D	AU-0051/52 tragen übersichtlichen Kalender, Termine und Medikamentengaben.
R25	N	D	AU-0054 trägt Rücknavigation, Logout und noch zu klärende Einstellungen in der Appbar.
R26	N	D	AU-0060 grenzt vertiefte Datenschutzkonzeption als mögliches Folgeprojekt ab.
R27	N	D	AU-0060/63/64 tragen interne Nutzung und Einrichtungssicht.
R28	N	D	AU-0066/67 schlagen und bestätigen beide Mobilplattformen; möglichst bewahrt den Entwurfscharakter.
R29	N	D	AU-0067/68 tragen Prüfung der Tablet-Unterstützung.
R30	N	D	AU-0069/70/121/122 tragen Suche und Profildarstellung einschließlich Alternative.
R31	N	D	AU-0123 trägt Anlage mit Bild/Name/Beschreibung.
R32	N	D	AU-0070/71/72/75 tragen Kommunikationssuche und ein noch zu definierendes Muster.
R33	N	D	AU-0074/75 verwerfen separaten Screen zugunsten integrierter Videos.
R34	N	D	AU-0078 trägt neue About-Me-Inhalte, Popup und Nutzer derselben Einrichtung.
R35	N	D	AU-0079/80/82/83 tragen Bewohnerrolle, eigenes Profil/About Me/Bilder und enge Fehlbedienungsgrenze.
R36	N	D	AU-0093/95 wählen Flutter/Dart.
R37	N	D	AU-0100/101/102 tragen gemeinsame Android-Studio-Orientierung und einheitliche Werkzeugversionen.
R38	N	D	AU-0104/105/106/107 tragen Firestore und offene lokale Wiederverwendung.
R39	N	D	AU-0111/112 bestätigen Android 11 für erste Entwicklung und Tests.
R40	N	D	AU-0113 kündigt Programmierregeln einschließlich Kommentaren an.
R41	N	D	AU-0114/115 tragen Aufnahme und Erprobung von JetX.
R42	N	D	AU-0119 nennt alle Loginbestandteile und keine Registrierung.
R43	N	D	AU-0130 trägt differenzierte Settings, Adminfunktionen und eigene Profil-/Spracheinstellungen.
R44	N	D	AU-0131/132 tragen Einführung beim ersten Login und erneut aufrufbaren Hilfebereich.
R45	N	D	AU-0133 trägt Schrift, Kontrast und Farbbegrenzung.
R46	N	D	AU-0134 schlägt die Prüfung alternativer Eingaben vor.
R47	N	P	AU-0135 enthält nur die anaphorische Antwort sie; der Gegenstand Animationen/Feedback steht in der nicht referenzierten AU-0134. Gesamte Quelle trägt die Ablenkungsgrenze.
