B01	N	D	AU-0001 trägt Digitalpräferenz und Kommunikationsförderung.
B02	N	D	AU-0004/5 schließen individuelles Übersetzungssystem aus.
B03	N	D	AU-0007 nennt vorhandene klassische Bewohnerakten.
B04	N	I	AU-0009 vereinbart Kennenlerntermine für ein größeres Gesamtbild. Der allgemeine Analyse-/Beobachtungszweck ist daraus inferierbar. Anders als R05 nennt B04 keinen speziellen Kommunikationsbeobachtungszweck; strengere Kontextlesart separat als Sensitivität.
B05	N	P	AU-0011 benennt bevorzugtes Verstehen der Bewohner; die explizite Gegenrichtung des Vergleichs steht erst in AU-0010 und ist nicht mitreferenziert.
B06	N	D	AU-0014/15 tragen App-Idee, Kommunikationswissen und Nachschlagen.
B07	N	D	AU-0015 kündigt Heilerziehungspfleger und Rückfragen an.
B08	N	D	AU-0018 berichtet Nichtlesen wegen Umfang/Auffindbarkeit; teilweise wahrt die begrenzte Beobachtung.
B09	N	I	AU-0020 trägt offene Einsicht wegen Datenschutz; Analysezweck ist eine nachvollziehbare Zusammenfassung der erbetenen Einsicht, kein Import in die App behauptet.
B10	N	D	AU-0022 beschreibt begleitete Einarbeitung und Erklärung von Kommunikationsbedeutungen.
B11	N	D	AU-0026/27 tragen dynamisches Hinzufügen neuen Kommunikationswissens.
B12	N	D	AU-0028 verlangt andere Darstellungen neben Text.
B13	N	D	AU-0029/30 tragen Vorabklärung, Angehörige und testweise Fotoverwendung.
B14	N	D	AU-0036/37 tragen Angehörigenzugriff und Inhaltsbeiträge.
B15	N	D	AU-0039/40/55 tragen No-Go-Seite, kritische Inhalte und Plus-Erweiterung.
B16	N	D	AU-0044/45/60/119 tragen internen Login ohne Selbstregistrierung und ausschließliche Admin-Anlage.
B17	N	D	AU-0043/60 tragen Admin/User und ausdrücklich beide User-Verbote.
B18	N	D	AU-0063/64 tragen Beschränkung auf Bewohner der eigenen Einrichtung.
B19	N	D	AU-0045/69/70/121/122 tragen Loginfolge, auswählbare Profile, Suchleiste und Darstellungsalternative.
B20	N	D	AU-0123 trägt Plus-Symbol und Dialogfelder Bild/Name/Beschreibung.
B21	N	D	AU-0047/125 tragen persönliche About-Me-Inhalte, Bildbeschreibungen, Plus und Timeline-Reihenfolge.
B22	N	D	AU-0049/70/74/75/76/126 tragen getrennte Kommunikation, Text/Bild-Erweiterung, integrierte Videos und Suche.
B23	N	D	AU-0071/72 tragen systematisches Eingabemuster und noch abzustimmende Formulierung.
B24	N	D	AU-0051 formuliert Kalender/Medikamentengaben als Entwurf; idealerweise erfindet keine neue Verbindlichkeit.
B25	N	D	AU-0054 trägt Logout; AU-0120 ergänzt Positionen und drei Appbar-Funktionen, ohne Logout ausdrücklich aufzuheben.
B26	N	D	AU-0079/80/82/83 tragen Bewohnerrolle, eigenes Profil/Bilder und eingeschränkte Funktionen; der Claim lässt den engen Umfang teilweise unbestimmt, fügt aber keine konkrete zusätzliche Berechtigung hinzu.
B27	X	P	AU-0078 formuliert Popup als Soll-Funktion, AU-0079 bestätigt; idealerweise schwächt dies im Claim zur Präferenz ab.
B28	N	D	AU-0086/132 beschreiben Hilfe und Erstlogin-Tour entwurfsartig (könnte helfen/wäre sinnvoll). Autor hält optional hier für angemessen; entsprechende Modalitätslesart übernommen, striktere Erstlesart als Sensitivität erhalten.
B29	N	D	AU-0130 trägt Settingsrollen, Admin-Funktionen sowie Profil-/Spracheinstellungen aller Nutzer.
B30	N	D	AU-0133 trägt große Schrift, Kontrast und zurückhaltende Farben.
B31	N	D	AU-0134 formuliert mögliche Prüfung alternativer Eingaben.
B32	N	P	Identisches Proposition-/Referenzpaar wie A39; AU-0135 allein enthält keinen benannten Gegenstand Animationen, sondern nur sie.
B33	N	D	AU-0067/68 tragen Evaluationsbedarf für Tablets.
B34	N	D	AU-0066/93 tragen beide Mobilplattformen.
B35	N	D	AU-0093/95 wählen Flutter/Dart.
B36	N	I	AU-0098/101 tragen gemeinsame Android-Studio-Orientierung; verbindliches Verbot anderer IDEs wird nicht behauptet.
B37	N	D	AU-0102 verlangt gleiche installierte Werkzeugversionen; konkrete Versionsnummern fehlen nur im Coverage-Umfang.
B38	N	D	AU-0104/107 tragen vorläufige Firebase-Firestore-Wahl.
B39	N	D	AU-0105/106 tragen offene lokale Speicherung und den Zweck, nicht ständig erneut aus Firebase zu laden.
B40	N	D	AU-0111 trägt Android 11 für anfängliche Entwicklung und Testen.
B41	N	D	AU-0114/115 tragen Aufnahme und Erprobung von JetX.
